,Brazil
2/26/20,1
2/27/20,1
2/28/20,1
2/29/20,2
3/1/20,2
3/2/20,2
3/3/20,2
3/4/20,4
3/5/20,4
3/6/20,13
3/7/20,13
3/8/20,20
3/9/20,25
3/10/20,31
3/11/20,38
3/12/20,52
3/13/20,151
3/14/20,151
3/15/20,162
3/16/20,200
3/17/20,321
3/18/20,372
3/19/20,621
3/20/20,793
3/21/20,1021
3/22/20,1546
3/23/20,1924
3/24/20,2247
3/25/20,2554
3/26/20,2985
3/27/20,3417
3/28/20,3904
3/29/20,4256
3/30/20,4579
3/31/20,5717
4/1/20,6836
4/2/20,8044
4/3/20,9056
4/4/20,10360
4/5/20,11130
4/6/20,12161
4/7/20,14034
4/8/20,16170
4/9/20,18092
4/10/20,19638
4/11/20,20727
4/12/20,22192
4/13/20,23430
4/14/20,25262
4/15/20,28320
4/16/20,30425
4/17/20,33682
4/18/20,36658
4/19/20,38654
4/20/20,40743
4/21/20,43079
4/22/20,45757
4/23/20,50036
4/24/20,54043
4/25/20,59324
4/26/20,63100
4/27/20,67446
4/28/20,73235
4/29/20,79685
4/30/20,87187
5/1/20,92202
5/2/20,97100
5/3/20,101826
5/4/20,108620
5/5/20,115455
5/6/20,126611
5/7/20,135773
5/8/20,146894
5/9/20,156061
5/10/20,162699
5/11/20,169594
5/12/20,178214
5/13/20,190137
5/14/20,203165
5/15/20,220291
5/16/20,233511
5/17/20,241080
5/18/20,255368
5/19/20,271885
5/20/20,291579
5/21/20,310087
5/22/20,330890
5/23/20,347398
5/24/20,363211
5/25/20,374898
5/26/20,391222
5/27/20,411821
5/28/20,438238
5/29/20,465166
5/30/20,498440
5/31/20,514849
6/1/20,526447
6/2/20,555383
6/3/20,584016
6/4/20,614941
6/5/20,645771
6/6/20,672846
6/7/20,691758
6/8/20,707412
6/9/20,739503
6/10/20,772416
6/11/20,802828
6/12/20,828810
6/13/20,850514
6/14/20,867624
6/15/20,888271
6/16/20,923189
6/17/20,955377
6/18/20,978142
6/19/20,1032913
6/20/20,1067579
6/21/20,1083341
6/22/20,1106470
6/23/20,1145906
6/24/20,1188631
6/25/20,1228114
6/26/20,1274974
6/27/20,1313667
6/28/20,1344143
6/29/20,1368195
6/30/20,1402041
7/1/20,1448753
7/2/20,1496858
7/3/20,1539081
7/4/20,1577004
7/5/20,1603055
7/6/20,1623284
7/7/20,1668589
7/8/20,1713160
7/9/20,1755779
7/10/20,1800827
7/11/20,1839850
7/12/20,1864681
7/13/20,1884967
7/14/20,1926824
7/15/20,1966748
7/16/20,2012151
7/17/20,2046328
7/18/20,2074860
7/19/20,2098389
7/20/20,2118646
7/21/20,2159654
7/22/20,2227514
7/23/20,2287475
7/24/20,2343366
7/25/20,2394513
7/26/20,2419091
7/27/20,2442375
7/28/20,2483191
7/29/20,2552265
7/30/20,2610102
7/31/20,2662485
8/1/20,2707877
8/2/20,2733677
8/3/20,2750318
8/4/20,2801921
8/5/20,2859073
8/6/20,2912212
8/7/20,2962442
8/8/20,3012412
8/9/20,3035422
8/10/20,3057470
8/11/20,3109630
8/12/20,3164785
8/13/20,3224876
8/14/20,3275520
8/15/20,3317096
8/16/20,3340197
8/17/20,3359570
8/18/20,3407354
8/19/20,3456652
8/20/20,3501975
8/21/20,3532330
8/22/20,3582362
8/23/20,3605783
8/24/20,3622861
8/25/20,3669995
8/26/20,3717156
8/27/20,3761391
8/28/20,3804803
8/29/20,3846153
8/30/20,3862311
8/31/20,3908272
9/1/20,3950931
9/2/20,3997865
9/3/20,4041638
9/4/20,4091801
9/5/20,4123000
9/6/20,4137521
9/7/20,4147794
9/8/20,4162073
9/9/20,4197889
9/10/20,4238446
9/11/20,4282164
9/12/20,4315687
9/13/20,4330455
9/14/20,4345610
9/15/20,4382263
9/16/20,4419083
9/17/20,4455386
9/18/20,4495183
9/19/20,4528240
9/20/20,4544629
9/21/20,4558040
9/22/20,4591364
9/23/20,4591364
9/24/20,4657702
9/25/20,4689613
9/26/20,4717991
9/27/20,4732309
9/28/20,4745464
9/29/20,4777522
9/30/20,4810935
10/1/20,4847092
10/2/20,4847092
10/3/20,4906833
10/4/20,4915289
10/5/20,4927235
10/6/20,4969141
10/7/20,5000694
10/8/20,5028444
10/9/20,5055888
10/10/20,5082637
10/11/20,5094979
10/12/20,5103408
10/13/20,5113628
10/14/20,5140863
10/15/20,5169386
10/16/20,5200300
10/17/20,5224362
10/18/20,5224362
10/19/20,5250727
10/20/20,5273954
10/21/20,5298772
10/22/20,5323630
10/23/20,5353656
10/24/20,5380635
10/25/20,5394128
10/26/20,5409854
10/27/20,5439641
10/28/20,5468270
10/29/20,5494376
10/30/20,5516658
10/31/20,5535605
11/1/20,5545705
11/2/20,5554206
11/3/20,5566049
11/4/20,5590025
11/5/20,5590025
11/6/20,5631181
11/7/20,5653561
11/8/20,5664115
11/9/20,5675032
11/10/20,5699005
11/11/20,5747660
11/12/20,5781582
11/13/20,5810652
11/14/20,5848959
11/15/20,5863093
11/16/20,5876464
11/17/20,5911758
11/18/20,5945849
11/19/20,5981767
11/20/20,6020164
11/21/20,6052786
11/22/20,6071401
11/23/20,6087608
11/24/20,6118708
11/25/20,6166606
