date,Brazil
2-26-2020,1.0
2-27-2020,1.0
2-28-2020,1.0
2-29-2020,2.0
3-1-2020,2.0
3-2-2020,2.0
3-3-2020,2.0
3-4-2020,4.0
3-5-2020,4.0
3-6-2020,13.0
3-7-2020,13.0
3-8-2020,20.0
3-9-2020,25.0
3-10-2020,31.0
3-11-2020,38.0
3-12-2020,52.0
3-13-2020,151.0
3-14-2020,151.0
3-15-2020,162.0
3-16-2020,200.0
3-17-2020,321.0
3-18-2020,372.0
3-19-2020,621.0
3-20-2020,793.0
3-21-2020,1021.0
3-22-2020,1546.0
3-23-2020,1924.0
3-24-2020,2247.0
3-25-2020,2554.0
3-26-2020,2985.0
3-27-2020,3417.0
3-28-2020,3904.0
3-29-2020,4256.0
3-30-2020,4579.0
3-31-2020,5717.0
4-1-2020,6836.0
4-2-2020,8044.0
4-3-2020,9056.0
4-4-2020,10360.0
4-5-2020,11130.0
4-6-2020,12161.0
4-7-2020,14034.0
4-8-2020,16170.0
4-9-2020,18092.0
4-10-2020,19638.0
4-11-2020,20727.0
4-12-2020,22192.0
4-13-2020,23430.0
4-14-2020,25262.0
4-15-2020,28320.0
4-16-2020,30425.0
4-17-2020,33682.0
4-18-2020,36658.0
4-19-2020,38654.0
4-20-2020,40743.0
4-21-2020,43079.0
4-22-2020,45757.0
4-23-2020,50036.0
4-24-2020,54043.0
4-25-2020,59324.0
4-26-2020,63100.0
4-27-2020,67446.0
4-28-2020,73235.0
4-29-2020,79685.0
4-30-2020,87187.0
5-1-2020,92202.0
5-2-2020,97100.0
5-3-2020,101826.0
5-4-2020,108620.0
5-5-2020,115455.0
5-6-2020,126611.0
5-7-2020,135773.0
5-8-2020,146894.0
5-9-2020,156061.0
5-10-2020,162699.0
5-11-2020,169594.0
5-12-2020,178214.0
5-13-2020,190137.0
5-14-2020,203165.0
5-15-2020,220291.0
5-16-2020,233511.0
5-17-2020,241080.0
5-18-2020,255368.0
5-19-2020,271885.0
5-20-2020,291579.0
5-21-2020,310087.0
5-22-2020,330890.0
5-23-2020,347398.0
5-24-2020,363211.0
5-25-2020,374898.0
5-26-2020,391222.0
5-27-2020,411821.0
5-28-2020,438238.0
5-29-2020,465166.0
5-30-2020,498440.0
5-31-2020,514849.0
6-1-2020,526447.0
6-2-2020,555383.0
6-3-2020,584016.0
6-4-2020,614941.0
6-5-2020,645771.0
6-6-2020,672846.0
6-7-2020,691758.0
6-8-2020,707412.0
6-9-2020,739503.0
6-10-2020,772416.0
6-11-2020,802828.0
6-12-2020,828810.0
6-13-2020,850514.0
6-14-2020,867624.0
6-15-2020,888271.0
6-16-2020,923189.0
6-17-2020,955377.0
6-18-2020,978142.0
6-19-2020,1032913.0
6-20-2020,1067579.0
6-21-2020,1083341.0
6-22-2020,1106470.0
6-23-2020,1145906.0
6-24-2020,1188631.0
6-25-2020,1228114.0
6-26-2020,1274974.0
6-27-2020,1313667.0
6-28-2020,1344143.0
6-29-2020,1368195.0
6-30-2020,1402041.0
7-1-2020,1448753.0
7-2-2020,1496858.0
7-3-2020,1539081.0
7-4-2020,1577004.0
7-5-2020,1603055.0
7-6-2020,1623284.0
7-7-2020,1668589.0
7-8-2020,1713160.0
7-9-2020,1755779.0
7-10-2020,1800827.0
7-11-2020,1839850.0
7-12-2020,1864681.0
7-13-2020,1884967.0
7-14-2020,1926824.0
7-15-2020,1966748.0
7-16-2020,2012151.0
7-17-2020,2046328.0
7-18-2020,2074860.0
7-19-2020,2098389.0
7-20-2020,2118646.0
7-21-2020,2159654.0
7-22-2020,2227514.0
7-23-2020,2287475.0
7-24-2020,2343366.0
7-25-2020,2394513.0
7-26-2020,2419091.0
7-27-2020,2442375.0
7-28-2020,2483191.0
7-29-2020,2552265.0
7-30-2020,2610102.0
7-31-2020,2662485.0
8-1-2020,2707877.0
8-2-2020,2733677.0
8-3-2020,2750318.0
8-4-2020,2801921.0
8-5-2020,2859073.0
8-6-2020,2912212.0
8-7-2020,2962442.0
8-8-2020,3012412.0
8-9-2020,3035422.0
8-10-2020,3057470.0
8-11-2020,3109630.0
8-12-2020,3164785.0
8-13-2020,3224876.0
8-14-2020,3275520.0
8-15-2020,3317096.0
8-16-2020,3340197.0
8-17-2020,3359570.0
8-18-2020,3407354.0
8-19-2020,3456652.0
8-20-2020,3501975.0
8-21-2020,3532330.0
8-22-2020,3582362.0
8-23-2020,3605783.0
8-24-2020,3622861.0
8-25-2020,3669995.0
8-26-2020,3717156.0
8-27-2020,3761391.0
8-28-2020,3804803.0
8-29-2020,3846153.0
8-30-2020,3862311.0
8-31-2020,3908272.0
9-1-2020,3950931.0
9-2-2020,3997865.0
9-3-2020,4041638.0
9-4-2020,4091801.0
9-5-2020,4123000.0
9-6-2020,4137521.0
9-7-2020,4147794.0
9-8-2020,4162073.0
9-9-2020,4197889.0
9-10-2020,4238446.0
9-11-2020,4282164.0
9-12-2020,4315687.0
9-13-2020,4330455.0
9-14-2020,4345610.0
9-15-2020,4382263.0
9-16-2020,4419083.0
9-17-2020,4455386.0
9-18-2020,4495183.0
9-19-2020,4528240.0
9-20-2020,4544629.0
9-21-2020,4558040.0
9-22-2020,4591364.0
9-23-2020,4591364.0
9-24-2020,4657702.0
9-25-2020,4689613.0
9-26-2020,4717991.0
9-27-2020,4732309.0
9-28-2020,4745464.0
9-29-2020,4777522.0
9-30-2020,4810935.0
10-1-2020,4847092.0
10-2-2020,4847092.0
10-3-2020,4906833.0
10-4-2020,4915289.0
10-5-2020,4927235.0
10-6-2020,4969141.0
10-7-2020,5000694.0
10-8-2020,5028444.0
10-9-2020,5055888.0
10-10-2020,5082637.0
10-11-2020,5094979.0
10-12-2020,5103408.0
10-13-2020,5113628.0
10-14-2020,5140863.0
10-15-2020,5169386.0
10-16-2020,5200300.0
10-17-2020,5224362.0
10-18-2020,5224362.0
10-19-2020,5250727.0
10-20-2020,5273954.0
10-21-2020,5298772.0
10-22-2020,5323630.0
10-23-2020,5353656.0
10-24-2020,5380635.0
10-25-2020,5394128.0
10-26-2020,5409854.0
10-27-2020,5439641.0
10-28-2020,5468270.0
10-29-2020,5494376.0
10-30-2020,5516658.0
10-31-2020,5535605.0
11-1-2020,5545705.0
11-2-2020,5554206.0
11-3-2020,5566049.0
11-4-2020,5590025.0
11-5-2020,5590025.0
11-6-2020,5631181.0
11-7-2020,5653561.0
11-8-2020,5664115.0
11-9-2020,5675032.0
11-10-2020,5699005.0
11-11-2020,5747660.0
11-12-2020,5781582.0
11-13-2020,5810652.0
11-14-2020,5848959.0
11-15-2020,5863093.0
11-16-2020,5876464.0
11-17-2020,5911758.0
11-18-2020,5945849.0
11-19-2020,5981767.0
11-20-2020,6020164.0
11-21-2020,6052786.0
11-22-2020,6071401.0
11-23-2020,6087608.0
11-24-2020,6118708.0
11-25-2020,6166606.0
11-26-2020,6204220.0
11-27-2020,6238350.0
11-28-2020,6290272.0
11-29-2020,6314740.0
11-30-2020,6335878.0
12-1-2020,6386787.0
12-2-2020,6436650.0
12-3-2020,6487084.0
12-4-2020,6533968.0
12-5-2020,6577177.0
12-6-2020,6603540.0
12-7-2020,6623911.0
12-8-2020,6674999.0
12-9-2020,6728452.0
12-10-2020,6781799.0
12-11-2020,6836227.0
12-12-2020,6880127.0
12-13-2020,6901952.0
12-14-2020,6927145.0
12-15-2020,6970034.0
12-16-2020,7040608.0
12-17-2020,7110434.0
12-18-2020,7162978.0
12-19-2020,7213155.0
12-20-2020,7238600.0
12-21-2020,7263619.0
12-22-2020,7318821.0
12-23-2020,7365517.0
12-24-2020,7423945.0
12-25-2020,7448560.0
12-26-2020,7465806.0
12-27-2020,7484285.0
12-28-2020,7504833.0
12-29-2020,7563551.0
12-30-2020,7619200.0
12-31-2020,7675973.0
1-1-2021,7700578.0
1-2-2021,7716405.0
1-3-2021,7733746.0
1-4-2021,7753752.0
1-5-2021,7810400.0
1-6-2021,7873830.0
1-7-2021,7961673.0
1-8-2021,8013708.0
1-9-2021,8075998.0
1-10-2021,8105790.0
1-11-2021,8131612.0
1-12-2021,8195637.0
1-13-2021,8256536.0
1-14-2021,8324294.0
1-15-2021,8393492.0
1-16-2021,8455059.0
1-17-2021,8488099.0
1-18-2021,8511770.0
1-19-2021,8573864.0
1-20-2021,8638249.0
1-21-2021,8697368.0
1-22-2021,8753920.0
1-23-2021,8816254.0
1-24-2021,8844577.0
1-25-2021,8871393.0
1-26-2021,8933356.0
1-27-2021,8996876.0
1-28-2021,9058687.0
1-29-2021,9118513.0
1-30-2021,9176975.0
1-31-2021,9204731.0
2-1-2021,9229322.0
2-2-2021,9283418.0
2-3-2021,9339420.0
2-4-2021,9396293.0
2-5-2021,9447165.0
2-6-2021,9447165.0
2-7-2021,9524640.0
2-8-2021,9524640.0
2-9-2021,9599565.0
2-10-2021,9659167.0
2-11-2021,9713909.0
2-12-2021,9765455.0
2-13-2021,9809754.0
2-14-2021,9834513.0
2-15-2021,9866710.0
2-16-2021,9921981.0
2-17-2021,9978747.0
2-18-2021,10030626.0
2-19-2021,10084208.0
2-20-2021,10139148.0
2-21-2021,10168174.0
2-22-2021,10195160.0
2-23-2021,10257875.0
2-24-2021,10324463.0
2-25-2021,10390461.0
2-26-2021,10455630.0
2-27-2021,10517232.0
2-28-2021,10551259.0
3-1-2021,10587001.0
3-2-2021,10646926.0
3-3-2021,10718630.0
3-4-2021,10793732.0
3-5-2021,10869227.0
3-6-2021,10938836.0
3-7-2021,11019344.0
3-8-2021,11051665.0
3-9-2021,11122429.0
3-10-2021,11202305.0
3-11-2021,11277717.0
3-12-2021,11363380.0
3-13-2021,11439558.0
3-14-2021,11483370.0
3-15-2021,11519609.0
3-16-2021,11603535.0
3-17-2021,11693838.0
3-18-2021,11780820.0
3-19-2021,11871390.0
3-20-2021,11950459.0
3-21-2021,11998233.0
3-22-2021,12047526.0
3-23-2021,12130019.0
3-24-2021,12220011.0
3-25-2021,12320169.0
3-26-2021,12404414.0
3-27-2021,12490362.0
3-28-2021,12534688.0
3-29-2021,12573615.0
3-30-2021,12658109.0
3-31-2021,12748747.0
4-1-2021,12839844.0
4-2-2021,12910082.0
4-3-2021,12953597.0
4-4-2021,12984956.0
4-5-2021,13013601.0
4-6-2021,13100580.0
4-7-2021,13193205.0
4-8-2021,13279857.0
4-9-2021,13373174.0
4-10-2021,13445006.0
4-11-2021,13482023.0
4-12-2021,13517808.0
4-13-2021,13599994.0
4-14-2021,13673507.0
4-15-2021,13746681.0
4-16-2021,13832455.0
4-17-2021,13900091.0
4-18-2021,13943071.0
4-19-2021,13973695.0
4-20-2021,14043076.0
4-21-2021,14122795.0
4-22-2021,14167973.0
4-23-2021,14237078.0
4-24-2021,14308215.0
4-25-2021,14340787.0
4-26-2021,14369423.0
4-27-2021,14441563.0
4-28-2021,14521289.0
4-29-2021,14590678.0
4-30-2021,14659011.0
5-1-2021,14725975.0
5-2-2021,14754910.0
5-3-2021,14779529.0
5-4-2021,14856888.0
5-5-2021,14930183.0
5-6-2021,15003563.0
5-7-2021,15082449.0
5-8-2021,15145879.0
5-9-2021,15184790.0
5-10-2021,15209990.0
5-11-2021,15282705.0
5-12-2021,15359397.0
5-13-2021,15433989.0
5-14-2021,15519525.0
5-15-2021,15586534.0
5-16-2021,15627243.0
5-17-2021,15657391.0
5-18-2021,15732836.0
5-19-2021,15812055.0
5-20-2021,15894094.0
5-21-2021,15970949.0
5-22-2021,16047439.0
5-23-2021,16083258.0
5-24-2021,16120756.0
5-25-2021,16194209.0
5-26-2021,16274695.0
5-27-2021,16342162.0
5-28-2021,16391930.0
5-29-2021,16471600.0
5-30-2021,16515120.0
5-31-2021,16545554.0
6-1-2021,16624480.0
6-2-2021,16720081.0
6-3-2021,16803472.0
6-4-2021,16841408.0
6-5-2021,16907425.0
6-6-2021,16947062.0
6-7-2021,16984218.0
6-8-2021,17037129.0
6-9-2021,17122877.0
6-10-2021,17210969.0
6-11-2021,17296118.0
6-12-2021,17374818.0
6-13-2021,17412766.0
6-14-2021,17452612.0
6-15-2021,17533221.0
6-16-2021,17628588.0
6-17-2021,17702630.0
6-18-2021,17801462.0
6-19-2021,17883750.0
6-20-2021,17927928.0
6-21-2021,17966831.0
6-22-2021,18054653.0
6-23-2021,18169881.0
6-24-2021,18243483.0
6-25-2021,18322760.0
6-26-2021,18386894.0
6-27-2021,18420598.0
6-28-2021,18448402.0
6-29-2021,18513305.0
6-30-2021,18557141.0
7-1-2021,18622304.0
7-2-2021,18687469.0
7-3-2021,18742025.0
7-4-2021,18769808.0
7-5-2021,18792511.0
7-6-2021,18855015.0
7-7-2021,18909037.0
7-8-2021,18962762.0
7-9-2021,19020499.0
7-10-2021,19069003.0
7-11-2021,19089940.0
7-12-2021,19106971.0
7-13-2021,19151993.0
7-14-2021,19209729.0
7-15-2021,19262518.0
7-16-2021,19308109.0
7-17-2021,19342448.0
7-18-2021,19376574.0
7-19-2021,19391845.0
7-20-2021,19419437.0
7-21-2021,19473954.0
7-22-2021,19523711.0
7-23-2021,19632443.0
7-24-2021,19670534.0
7-25-2021,19688663.0
7-26-2021,19707662.0
7-27-2021,19749073.0
7-28-2021,19797086.0
7-29-2021,19839369.0
7-30-2021,19880273.0
7-31-2021,19917855.0
8-1-2021,19938358.0
8-2-2021,19953501.0
8-3-2021,19985817.0
8-4-2021,20026533.0
8-5-2021,20066587.0
8-6-2021,20108746.0
8-7-2021,20151779.0
8-8-2021,20165672.0
8-9-2021,20177757.0
8-10-2021,20212642.0
8-11-2021,20245085.0
8-12-2021,20285067.0
8-13-2021,20319000.0
8-14-2021,20350142.0
8-15-2021,20364099.0
8-16-2021,20378570.0
8-17-2021,20416183.0
8-18-2021,20457897.0
8-19-2021,20494212.0
8-20-2021,20528099.0
8-21-2021,20556487.0
8-22-2021,20570891.0
8-23-2021,20583994.0
8-24-2021,20614866.0
8-25-2021,20645537.0
8-26-2021,20676561.0
8-27-2021,20703906.0
8-28-2021,20728605.0
8-29-2021,20741815.0
8-30-2021,20752281.0
8-31-2021,20776870.0
9-1-2021,20804215.0
9-2-2021,20830495.0
9-3-2021,20856060.0
9-4-2021,20877864.0
9-5-2021,20890779.0
9-6-2021,20899933.0
9-7-2021,20914237.0
9-8-2021,20928008.0
9-9-2021,20958899.0
9-10-2021,20974850.0
9-11-2021,20989164.0
9-12-2021,20999779.0
9-13-2021,21006424.0
9-14-2021,21019830.0
9-15-2021,21034610.0
9-16-2021,21069017.0
9-17-2021,21080219.0
9-18-2021,21230325.0
9-19-2021,21239783.0
9-20-2021,21247667.0
9-21-2021,21247094.0
9-22-2021,21283567.0
9-23-2021,21308178.0
9-24-2021,21327616.0
9-25-2021,21343304.0
9-26-2021,21351972.0
9-27-2021,21366395.0
9-28-2021,21381790.0
9-29-2021,21399546.0
9-30-2021,21427073.0
10-1-2021,21445651.0
10-2-2021,21459117.0
10-3-2021,21468121.0
10-4-2021,21478546.0
10-5-2021,21499074.0
10-6-2021,21516967.0
10-7-2021,21532558.0
10-8-2021,21550730.0
10-9-2021,21567181.0
10-10-2021,21575820.0
10-11-2021,21582738.0
10-12-2021,21590097.0
10-13-2021,21597949.0
10-14-2021,21612237.0
10-15-2021,21627476.0
10-16-2021,21638726.0
10-17-2021,21644464.0
10-18-2021,21651910.0
10-19-2021,21664879.0
10-20-2021,21680488.0
10-21-2021,21697341.0
10-22-2021,21711843.0
10-23-2021,21723559.0
10-24-2021,21729763.0
10-25-2021,21735560.0
10-26-2021,21748984.0
10-27-2021,21766168.0
10-28-2021,21781436.0
10-29-2021,21793401.0
10-30-2021,21804094.0
10-31-2021,21810855.0
11-1-2021,21814693.0
11-2-2021,21821124.0
11-3-2021,21835785.0
11-4-2021,21849137.0
11-5-2021,21862458.0
11-6-2021,21874324.0
11-7-2021,21880439.0
11-8-2021,21886077.0
11-9-2021,21897025.0
11-10-2021,21909298.0
11-11-2021,21924598.0
11-12-2021,21939196.0
11-13-2021,21953838.0
11-14-2021,21957967.0
11-15-2021,21960766.0
11-16-2021,21965684.0
11-17-2021,21977661.0
11-18-2021,21989962.0
11-19-2021,22003317.0
11-20-2021,22012150.0
11-21-2021,22017276.0
11-22-2021,22019870.0
11-23-2021,22030182.0
11-24-2021,22043112.0
11-25-2021,22055238.0
11-26-2021,22067630.0
11-27-2021,22076863.0
11-28-2021,22080906.0
11-29-2021,22084749.0
11-30-2021,22094459.0
12-1-2021,22105872.0
12-2-2021,22118782.0
12-3-2021,22129409.0
12-4-2021,22138247.0
12-5-2021,22143091.0
12-6-2021,22147476.0
12-7-2021,22157726.0
12-8-2021,22167781.0
12-9-2021,22177059.0
12-10-2021,22177059.0
12-11-2021,22177059.0
12-12-2021,22177059.0
12-13-2021,22177059.0
12-14-2021,22195775.0
12-15-2021,22201221.0
12-16-2021,22201221.0
12-17-2021,22204941.0
12-18-2021,22204941.0
12-19-2021,22213762.0
12-20-2021,22215856.0
