date,India
1/30/20,1.0
1/31/20,1.0
2/1/20,1.0
2/2/20,2.0
2/3/20,3.0
2/4/20,3.0
2/5/20,3.0
2/6/20,3.0
2/7/20,3.0
2/8/20,3.0
2/9/20,3.0
2/10/20,3.0
2/11/20,3.0
2/12/20,3.0
2/13/20,3.0
2/14/20,3.0
2/15/20,3.0
2/16/20,3.0
2/17/20,3.0
2/18/20,3.0
2/19/20,3.0
2/20/20,3.0
2/21/20,3.0
2/22/20,3.0
2/23/20,3.0
2/24/20,3.0
2/25/20,3.0
2/26/20,3.0
2/27/20,3.0
2/28/20,3.0
2/29/20,3.0
3/1/20,3.0
3/2/20,5.0
3/3/20,5.0
3/4/20,28.0
3/5/20,30.0
3/6/20,31.0
3/7/20,34.0
3/8/20,39.0
3/9/20,43.0
3/10/20,56.0
3/11/20,62.0
3/12/20,73.0
3/13/20,82.0
3/14/20,102.0
3/15/20,113.0
3/16/20,119.0
3/17/20,142.0
3/18/20,156.0
3/19/20,194.0
3/20/20,244.0
3/21/20,330.0
3/22/20,396.0
3/23/20,499.0
3/24/20,536.0
3/25/20,657.0
3/26/20,727.0
3/27/20,887.0
3/28/20,987.0
3/29/20,1024.0
3/30/20,1251.0
3/31/20,1397.0
4/1/20,1998.0
4/2/20,2543.0
4/3/20,2567.0
4/4/20,3082.0
4/5/20,3588.0
4/6/20,4778.0
4/7/20,5311.0
4/8/20,5916.0
4/9/20,6725.0
4/10/20,7598.0
4/11/20,8446.0
4/12/20,9205.0
4/13/20,10453.0
4/14/20,11487.0
4/15/20,12322.0
4/16/20,13430.0
4/17/20,14352.0
4/18/20,15722.0
4/19/20,17615.0
4/20/20,18539.0
4/21/20,20080.0
4/22/20,21370.0
4/23/20,23077.0
4/24/20,24530.0
4/25/20,26283.0
4/26/20,27890.0
4/27/20,29451.0
4/28/20,31324.0
4/29/20,33062.0
4/30/20,34863.0
5/1/20,37257.0
5/2/20,39699.0
5/3/20,42505.0
5/4/20,46437.0
5/5/20,49400.0
5/6/20,52987.0
5/7/20,56351.0
5/8/20,59695.0
5/9/20,62808.0
5/10/20,67161.0
5/11/20,70768.0
5/12/20,74292.0
5/13/20,78055.0
5/14/20,81997.0
5/15/20,85784.0
5/16/20,90648.0
5/17/20,95698.0
5/18/20,100328.0
5/19/20,106475.0
5/20/20,112028.0
5/21/20,118226.0
5/22/20,124794.0
5/23/20,131423.0
5/24/20,138536.0
5/25/20,144950.0
5/26/20,150793.0
5/27/20,158086.0
5/28/20,165386.0
5/29/20,173491.0
5/30/20,181827.0
5/31/20,190609.0
6/1/20,198370.0
6/2/20,207191.0
6/3/20,216824.0
6/4/20,226713.0
6/5/20,236184.0
6/6/20,246622.0
6/7/20,257486.0
6/8/20,265928.0
6/9/20,276146.0
6/10/20,286605.0
6/11/20,297535.0
6/12/20,308993.0
6/13/20,320922.0
6/14/20,332424.0
6/15/20,343091.0
6/16/20,354065.0
6/17/20,366946.0
6/18/20,380532.0
6/19/20,395048.0
6/20/20,410451.0
6/21/20,425282.0
6/22/20,440215.0
6/23/20,456183.0
6/24/20,473105.0
6/25/20,490401.0
6/26/20,508953.0
6/27/20,528859.0
6/28/20,548318.0
6/29/20,566840.0
6/30/20,585481.0
7/1/20,604641.0
7/2/20,625544.0
7/3/20,648315.0
7/4/20,673165.0
7/5/20,697413.0
7/6/20,719664.0
7/7/20,742417.0
7/8/20,767296.0
7/9/20,793802.0
7/10/20,820916.0
7/11/20,849522.0
7/12/20,878254.0
7/13/20,906752.0
7/14/20,936181.0
7/15/20,968857.0
7/16/20,1003832.0
7/17/20,1039084.0
7/18/20,1077781.0
7/19/20,1118206.0
7/20/20,1155338.0
7/21/20,1193078.0
7/22/20,1238798.0
7/23/20,1288108.0
7/24/20,1337024.0
7/25/20,1385635.0
7/26/20,1435616.0
7/27/20,1480073.0
7/28/20,1531669.0
7/29/20,1581963.0
7/30/20,1634746.0
7/31/20,1695988.0
8/1/20,1750723.0
8/2/20,1803695.0
8/3/20,1855745.0
8/4/20,1908254.0
8/5/20,1964536.0
8/6/20,2027074.0
8/7/20,2088611.0
8/8/20,2153010.0
8/9/20,2215074.0
8/10/20,2268675.0
8/11/20,2329638.0
8/12/20,2396637.0
8/13/20,2461190.0
8/14/20,2525922.0
8/15/20,2589952.0
8/16/20,2647663.0
8/17/20,2702681.0
8/18/20,2767253.0
8/19/20,2836925.0
8/20/20,2905825.0
8/21/20,2975701.0
8/22/20,3044940.0
8/23/20,3106348.0
8/24/20,3167323.0
8/25/20,3224547.0
8/26/20,3310234.0
8/27/20,3387500.0
8/28/20,3463972.0
8/29/20,3542733.0
8/30/20,3621245.0
8/31/20,3691166.0
9/1/20,3769523.0
9/2/20,3853406.0
9/3/20,3936747.0
9/4/20,4023179.0
9/5/20,4113811.0
9/6/20,4204613.0
9/7/20,4280422.0
9/8/20,4370128.0
9/9/20,4465863.0
9/10/20,4562414.0
9/11/20,4659984.0
9/12/20,4754356.0
9/13/20,4846427.0
9/14/20,4930236.0
9/15/20,5020359.0
9/16/20,5118253.0
9/17/20,5214677.0
9/18/20,5308014.0
9/19/20,5400619.0
9/20/20,5487580.0
9/21/20,5562663.0
9/22/20,5646010.0
9/23/20,5732518.0
9/24/20,5818570.0
9/25/20,5903932.0
9/26/20,5992532.0
9/27/20,6074702.0
9/28/20,6145291.0
9/29/20,6225763.0
9/30/20,6312584.0
10/1/20,6394068.0
10/2/20,6473544.0
10/3/20,6549373.0
10/4/20,6623815.0
10/5/20,6685082.0
10/6/20,6757131.0
10/7/20,6835655.0
10/8/20,6906151.0
10/9/20,6979423.0
10/10/20,7053806.0
10/11/20,7120538.0
10/12/20,7175880.0
10/13/20,7239389.0
10/14/20,7307097.0
10/15/20,7370468.0
10/16/20,7432680.0
10/17/20,7494551.0
10/18/20,7550273.0
10/19/20,7597063.0
10/20/20,7651107.0
10/21/20,7706946.0
10/22/20,7761312.0
10/23/20,7814682.0
10/24/20,7864811.0
10/25/20,7909959.0
10/26/20,7946429.0
10/27/20,7990322.0
10/28/20,8040203.0
10/29/20,8088851.0
10/30/20,8137119.0
10/31/20,8184082.0
11/1/20,8229313.0
11/2/20,8267623.0
11/3/20,8313876.0
11/4/20,8364086.0
11/5/20,8411724.0
11/6/20,8462080.0
11/7/20,8507754.0
11/8/20,8553657.0
11/9/20,8591730.0
11/10/20,8636011.0
11/11/20,8683916.0
11/12/20,8728795.0
11/13/20,8773479.0
11/14/20,8814579.0
11/15/20,8845127.0
11/16/20,8874290.0
11/17/20,8912907.0
11/18/20,8958483.0
11/19/20,9004365.0
11/20/20,9050597.0
11/21/20,9095806.0
11/22/20,9139865.0
11/23/20,9177840.0
11/24/20,9222216.0
11/25/20,9266705.0
11/26/20,9309787.0
11/27/20,9351109.0
11/28/20,9392919.0
11/29/20,9431691.0
11/30/20,9462809.0
12/1/20,9499413.0
12/2/20,9534964.0
12/3/20,9571559.0
12/4/20,9608211.0
12/5/20,9644222.0
12/6/20,9677203.0
12/7/20,9703770.0
12/8/20,9735850.0
12/9/20,9767371.0
12/10/20,9796744.0
12/11/20,9826775.0
12/12/20,9857029.0
12/13/20,9884100.0
12/14/20,9906165.0
12/15/20,9932547.0
12/16/20,9956557.0
12/17/20,9979447.0
12/18/20,10004599.0
12/19/20,10031223.0
12/20/20,10055560.0
12/21/20,10075116.0
12/22/20,10099066.0
12/23/20,10123778.0
12/24/20,10146845.0
12/25/20,10169118.0
12/26/20,10187850.0
12/27/20,10207871.0
12/28/20,10224303.0
12/29/20,10244852.0
12/30/20,10266674.0
12/31/20,10286709.0
1/1/21,10305788.0
1/2/21,10323965.0
1/3/21,10340469.0
1/4/21,10356844.0
1/5/21,10374932.0
1/6/21,10395278.0
1/7/21,10413417.0
1/8/21,10413417.0
1/9/21,10450284.0
1/10/21,10466595.0
1/11/21,10479179.0
1/12/21,10495147.0
1/13/21,10512093.0
1/14/21,10527683.0
1/15/21,10542841.0
1/16/21,10557985.0
1/17/21,10571773.0
1/18/21,10581823.0
1/19/21,10595639.0
1/20/21,10610883.0
1/21/21,10625428.0
1/22/21,10639684.0
1/23/21,10654533.0
1/24/21,10667736.0
1/25/21,10676838.0
1/26/21,10689527.0
1/27/21,10701193.0
1/28/21,10720048.0
1/29/21,10733130.0
1/30/21,10746174.0
1/31/21,10757610.0
2/1/21,10766245.0
2/2/21,10777284.0
2/3/21,10790183.0
2/4/21,10802591.0
2/5/21,10814304.0
2/6/21,10826363.0
2/7/21,10838194.0
2/8/21,10847304.0
2/9/21,10858371.0
2/10/21,10871294.0
2/11/21,10880603.0
2/12/21,10892746.0
2/13/21,10904940.0
2/14/21,10916589.0
2/15/21,10925710.0
2/16/21,10937320.0
2/17/21,10950201.0
2/18/21,10963394.0
2/19/21,10977387.0
2/20/21,10991651.0
2/21/21,11005850.0
2/22/21,11016434.0
2/23/21,11030176.0
2/24/21,11046914.0
2/25/21,11063491.0
2/26/21,11079979.0
2/27/21,11096731.0
2/28/21,11112241.0
3/1/21,11124527.0
3/2/21,11139516.0
3/3/21,11156923.0
3/4/21,11173761.0
3/5/21,11192045.0
3/6/21,11210799.0
3/7/21,11229398.0
3/8/21,11244786.0
3/9/21,11262707.0
3/10/21,11285561.0
3/11/21,11308846.0
3/12/21,11333728.0
3/13/21,11359048.0
3/14/21,11385339.0
3/15/21,11409831.0
3/16/21,11438734.0
3/17/21,11474605.0
3/18/21,11514331.0
3/19/21,11555284.0
3/20/21,11599130.0
3/21/21,11646081.0
3/22/21,11686796.0
3/23/21,11734058.0
3/24/21,11787534.0
3/25/21,11846652.0
3/26/21,11908910.0
3/27/21,11971624.0
3/28/21,12039644.0
3/29/21,12095855.0
3/30/21,12149335.0
3/31/21,12221665.0
4/1/21,12303131.0
4/2/21,12392260.0
4/3/21,12485509.0
4/4/21,12589067.0
4/5/21,12686049.0
4/6/21,12801785.0
4/7/21,12928574.0
4/8/21,13060542.0
4/9/21,13205926.0
4/10/21,13358805.0
4/11/21,13527717.0
4/12/21,13689453.0
4/13/21,13873825.0
4/14/21,14074564.0
4/15/21,14291917.0
4/16/21,14526609.0
4/17/21,14788003.0
4/18/21,15061805.0
4/19/21,15320972.0
4/20/21,15616130.0
4/21/21,15930774.0
4/22/21,16263695.0
4/23/21,16610481.0
4/24/21,16960172.0
4/25/21,17313163.0
4/26/21,17636186.0
4/27/21,17997113.0
4/28/21,18376421.0
4/29/21,18762976.0
4/30/21,19164969.0
5/1/21,19557457.0
5/2/21,19925517.0
5/3/21,20282833.0
5/4/21,20664979.0
5/5/21,21077410.0
5/6/21,21491598.0
5/7/21,21892676.0
5/8/21,22296081.0
5/9/21,22662575.0
5/10/21,22992517.0
5/11/21,23340938.0
5/12/21,23703665.0
5/13/21,24046809.0
5/14/21,24372907.0
5/15/21,24684077.0
5/16/21,24965463.0
5/17/21,25228996.0
5/18/21,25496330.0
5/19/21,25772440.0
5/20/21,26031991.0
5/21/21,26289290.0
5/22/21,26530132.0
5/23/21,26752447.0
5/24/21,26948874.0
5/25/21,27157795.0
5/26/21,27369093.0
5/27/21,27555457.0
5/28/21,27729247.0
5/29/21,27894800.0
5/30/21,28047534.0
5/31/21,28175044.0
6/1/21,28307832.0
6/2/21,28441986.0
6/3/21,28574350.0
6/4/21,28694879.0
6/5/21,28809339.0
6/6/21,28909975.0
6/7/21,28996473.0
6/8/21,29089069.0
6/9/21,29182532.0
6/10/21,29274823.0
6/11/21,29359155.0
6/12/21,29439989.0
6/13/21,29510410.0
6/14/21,29570881.0
6/15/21,29633105.0
6/16/21,29700313.0
6/17/21,29762793.0
6/18/21,29823546.0
6/19/21,29881772.0
6/20/21,29935221.0
6/21/21,29977861.0
6/22/21,30028709.0
6/23/21,30082778.0
6/24/21,30134445.0
6/25/21,30183143.0
6/26/21,30233183.0
6/27/21,30279331.0
6/28/21,30316897.0
6/29/21,30362848.0
6/30/21,30411634.0
7/1/21,30458251.0
7/2/21,30502362.0
7/3/21,30545433.0
7/4/21,30585229.0
7/5/21,30619932.0
