,US
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,6
1/30/20,6
1/31/20,8
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,12
2/7/20,12
2/8/20,12
2/9/20,12
2/10/20,12
2/11/20,13
2/12/20,13
2/13/20,14
2/14/20,14
2/15/20,14
2/16/20,14
2/17/20,14
2/18/20,14
2/19/20,14
2/20/20,14
2/21/20,16
2/22/20,16
2/23/20,16
2/24/20,16
2/25/20,16
2/26/20,16
2/27/20,17
2/28/20,17
2/29/20,25
3/1/20,32
3/2/20,55
3/3/20,74
3/4/20,107
3/5/20,184
3/6/20,237
3/7/20,403
3/8/20,519
3/9/20,594
3/10/20,782
3/11/20,1147
3/12/20,1586
3/13/20,2219
3/14/20,2978
3/15/20,3212
3/16/20,4679
3/17/20,6512
3/18/20,9169
3/19/20,13663
3/20/20,20030
3/21/20,26025
3/22/20,34944
3/23/20,46096
3/24/20,56714
3/25/20,68841
3/26/20,86662
3/27/20,105253
3/28/20,127417
3/29/20,143544
3/30/20,165698
3/31/20,192079
4/1/20,224311
4/2/20,256541
4/3/20,289023
4/4/20,321199
4/5/20,350803
4/6/20,382661
4/7/20,413004
4/8/20,444153
4/9/20,480596
4/10/20,514943
4/11/20,544221
4/12/20,571093
4/13/20,598017
4/14/20,626412
4/15/20,652312
4/16/20,682268
4/17/20,715425
4/18/20,743419
4/19/20,769342
4/20/20,799022
4/21/20,825192
4/22/20,854611
4/23/20,887379
4/24/20,919531
4/25/20,950525
4/26/20,977072
4/27/20,1000822
4/28/20,1025512
4/29/20,1051732
4/30/20,1080974
5/1/20,1115995
5/2/20,1143819
5/3/20,1168311
5/4/20,1192024
5/5/20,1216353
5/6/20,1240616
5/7/20,1268273
5/8/20,1295545
5/9/20,1319991
5/10/20,1339139
5/11/20,1358173
5/12/20,1381016
5/13/20,1401592
5/14/20,1428124
5/15/20,1452945
5/16/20,1477178
5/17/20,1495976
5/18/20,1518110
5/19/20,1538871
5/20/20,1561593
5/21/20,1587399
5/22/20,1611018
5/23/20,1631997
5/24/20,1652588
5/25/20,1671241
5/26/20,1689817
5/27/20,1709224
5/28/20,1730870
5/29/20,1755605
5/30/20,1779689
5/31/20,1799143
6/1/20,1816108
6/2/20,1837391
6/3/20,1857162
6/4/20,1878885
6/5/20,1903886
6/6/20,1925184
6/7/20,1943597
6/8/20,1960101
6/9/20,1978193
6/10/20,1999261
6/11/20,2021643
6/12/20,2046968
6/13/20,2071940
6/14/20,2091360
6/15/20,2109882
6/16/20,2133721
6/17/20,2161110
6/18/20,2189425
