date,US
1/22/20,1.0
1/23/20,1.0
1/24/20,2.0
1/25/20,2.0
1/26/20,5.0
1/27/20,5.0
1/28/20,5.0
1/29/20,6.0
1/30/20,6.0
1/31/20,8.0
2/1/20,8.0
2/2/20,8.0
2/3/20,11.0
2/4/20,11.0
2/5/20,11.0
2/6/20,12.0
2/7/20,12.0
2/8/20,12.0
2/9/20,12.0
2/10/20,12.0
2/11/20,13.0
2/12/20,13.0
2/13/20,14.0
2/14/20,14.0
2/15/20,14.0
2/16/20,14.0
2/17/20,14.0
2/18/20,14.0
2/19/20,14.0
2/20/20,14.0
2/21/20,16.0
2/22/20,16.0
2/23/20,16.0
2/24/20,16.0
2/25/20,16.0
2/26/20,16.0
2/27/20,17.0
2/28/20,17.0
2/29/20,25.0
3/1/20,32.0
3/2/20,55.0
3/3/20,74.0
3/4/20,107.0
3/5/20,184.0
3/6/20,237.0
3/7/20,403.0
3/8/20,519.0
3/9/20,594.0
3/10/20,782.0
3/11/20,1147.0
3/12/20,1586.0
3/13/20,2219.0
3/14/20,2978.0
3/15/20,3212.0
3/16/20,4679.0
3/17/20,6512.0
3/18/20,9169.0
3/19/20,13663.0
3/20/20,20030.0
3/21/20,26025.0
3/22/20,34944.0
3/23/20,46096.0
3/24/20,56714.0
3/25/20,68841.0
3/26/20,86662.0
3/27/20,105253.0
3/28/20,127417.0
3/29/20,143544.0
3/30/20,165698.0
3/31/20,192079.0
4/1/20,224311.0
4/2/20,256541.0
4/3/20,289023.0
4/4/20,321199.0
4/5/20,350803.0
4/6/20,382661.0
4/7/20,413004.0
4/8/20,444153.0
4/9/20,480596.0
4/10/20,514943.0
4/11/20,544221.0
4/12/20,571093.0
4/13/20,598017.0
4/14/20,626412.0
4/15/20,652312.0
4/16/20,682268.0
4/17/20,715425.0
4/18/20,743419.0
4/19/20,769342.0
4/20/20,799022.0
4/21/20,825192.0
4/22/20,854611.0
4/23/20,887379.0
4/24/20,919531.0
4/25/20,950525.0
4/26/20,977072.0
4/27/20,1000822.0
4/28/20,1025512.0
4/29/20,1051732.0
4/30/20,1080974.0
5/1/20,1115995.0
5/2/20,1143819.0
5/3/20,1168311.0
5/4/20,1192024.0
5/5/20,1216353.0
5/6/20,1240616.0
5/7/20,1268273.0
5/8/20,1295545.0
5/9/20,1319991.0
5/10/20,1339139.0
5/11/20,1358173.0
5/12/20,1381016.0
5/13/20,1401592.0
5/14/20,1428124.0
5/15/20,1452945.0
5/16/20,1477178.0
5/17/20,1495976.0
5/18/20,1518110.0
5/19/20,1538871.0
5/20/20,1561593.0
5/21/20,1587399.0
5/22/20,1611018.0
5/23/20,1631997.0
5/24/20,1652588.0
5/25/20,1671241.0
5/26/20,1689817.0
5/27/20,1709224.0
5/28/20,1730870.0
5/29/20,1755605.0
5/30/20,1779689.0
5/31/20,1799143.0
6/1/20,1816108.0
6/2/20,1837391.0
6/3/20,1857162.0
6/4/20,1878885.0
6/5/20,1903886.0
6/6/20,1925184.0
6/7/20,1943597.0
6/8/20,1960101.0
6/9/20,1978193.0
6/10/20,1999261.0
6/11/20,2021643.0
6/12/20,2046968.0
6/13/20,2071940.0
6/14/20,2091360.0
6/15/20,2109882.0
6/16/20,2133721.0
6/17/20,2161110.0
6/18/20,2189425.0
6/19/20,2221122.0
6/20/20,2253735.0
6/21/20,2279924.0
6/22/20,2310897.0
6/23/20,2348119.0
6/24/20,2384351.0
6/25/20,2424720.0
6/26/20,2470930.0
6/27/20,2512667.0
6/28/20,2554529.0
6/29/20,2594171.0
6/30/20,2642483.0
7/1/20,2694049.0
7/2/20,2750397.0
7/3/20,2803017.0
7/4/20,2851963.0
7/5/20,2902401.0
7/6/20,2945202.0
7/7/20,3004061.0
7/8/20,3063784.0
7/9/20,3124659.0
7/10/20,3192437.0
7/11/20,3253808.0
7/12/20,3314492.0
7/13/20,3372051.0
7/14/20,3438490.0
7/15/20,3506456.0
7/16/20,3582495.0
7/17/20,3654746.0
7/18/20,3718543.0
7/19/20,3779992.0
7/20/20,3840204.0
7/21/20,3905786.0
7/22/20,3976170.0
7/23/20,4044427.0
7/24/20,4118576.0
7/25/20,4185575.0
7/26/20,4241731.0
7/27/20,4297901.0
7/28/20,4361595.0
7/29/20,4429970.0
7/30/20,4497936.0
7/31/20,4566405.0
8/1/20,4625537.0
8/2/20,4671544.0
8/3/20,4716828.0
8/4/20,4771802.0
8/5/20,4827685.0
8/6/20,4884915.0
8/7/20,4945979.0
8/8/20,5001155.0
8/9/20,5049292.0
8/10/20,5094512.0
8/11/20,5147112.0
8/12/20,5199914.0
8/13/20,5251443.0
8/14/20,5316516.0
8/15/20,5366172.0
8/16/20,5406276.0
8/17/20,5441938.0
8/18/20,5484843.0
8/19/20,5529106.0
8/20/20,5573695.0
8/21/20,5622484.0
8/22/20,5666888.0
8/23/20,5701454.0
8/24/20,5736335.0
8/25/20,5777262.0
8/26/20,5821218.0
8/27/20,5867206.0
8/28/20,5913741.0
8/29/20,5957982.0
8/30/20,5992910.0
8/31/20,6025524.0
9/1/20,6068467.0
9/2/20,6109109.0
9/3/20,6153462.0
9/4/20,6204151.0
9/5/20,6247660.0
9/6/20,6278710.0
9/7/20,6302608.0
9/8/20,6328297.0
9/9/20,6362833.0
9/10/20,6398731.0
9/11/20,6446751.0
9/12/20,6488439.0
9/13/20,6522972.0
9/14/20,6556139.0
9/15/20,6595682.0
9/16/20,6634556.0
9/17/20,6679807.0
9/18/20,6729029.0
9/19/20,6771768.0
9/20/20,6810685.0
9/21/20,6861279.0
9/22/20,6901440.0
9/23/20,6940292.0
9/24/20,6987767.0
9/25/20,7036315.0
9/26/20,7081245.0
9/27/20,7119399.0
9/28/20,7151848.0
9/29/20,7195362.0
9/30/20,7234441.0
10/1/20,7280537.0
10/2/20,7335668.0
10/3/20,7386327.0
10/4/20,7420959.0
10/5/20,7459190.0
10/6/20,7504409.0
10/7/20,7555626.0
10/8/20,7614541.0
10/9/20,7671291.0
10/10/20,7727031.0
10/11/20,7773863.0
10/12/20,7815595.0
10/13/20,7866686.0
10/14/20,7925988.0
10/15/20,7991102.0
10/16/20,8060225.0
10/17/20,8117917.0
10/18/20,8168907.0
10/19/20,8235646.0
10/20/20,8297343.0
10/21/20,8360664.0
10/22/20,8436889.0
10/23/20,8519367.0
10/24/20,8603095.0
10/25/20,8665762.0
10/26/20,8731738.0
10/27/20,8808899.0
10/28/20,8888167.0
10/29/20,8979386.0
10/30/20,9079477.0
10/31/20,9170213.0
11/1/20,9275858.0
11/2/20,9359193.0
11/3/20,9487028.0
11/4/20,9591205.0
11/5/20,9721222.0
11/6/20,9849034.0
11/7/20,9981159.0
11/8/20,10096515.0
11/9/20,10214563.0
11/10/20,10354834.0
11/11/20,10504322.0
11/12/20,10666089.0
11/13/20,10847215.0
11/14/20,11019500.0
11/15/20,11157413.0
11/16/20,11316591.0
11/17/20,11480755.0
11/18/20,11654169.0
11/19/20,11846069.0
11/20/20,12047506.0
11/21/20,12229540.0
11/22/20,12376192.0
11/23/20,12548139.0
11/24/20,12725374.0
11/25/20,12910268.0
11/26/20,13028654.0
11/27/20,13231677.0
11/28/20,13390434.0
11/29/20,13531275.0
11/30/20,13686968.0
12/1/20,13881003.0
12/2/20,14085507.0
12/3/20,14309668.0
12/4/20,14544981.0
12/5/20,14766891.0
12/6/20,14946109.0
12/7/20,15136259.0
12/8/20,15367208.0
12/9/20,15588346.0
12/10/20,15823021.0
12/11/20,16063278.0
12/12/20,16285442.0
12/13/20,16472146.0
12/14/20,16672774.0
12/15/20,16894824.0
12/16/20,17135510.0
12/17/20,17372736.0
12/18/20,17621695.0
12/19/20,17824266.0
12/20/20,18009616.0
12/21/20,18199332.0
12/22/20,18401302.0
12/23/20,18627081.0
12/24/20,18831968.0
12/25/20,18940653.0
12/26/20,19159645.0
12/27/20,19314639.0
12/28/20,19481322.0
12/29/20,19683018.0
12/30/20,19905956.0
12/31/20,20164067.0
1/1/21,20330328.0
1/2/21,20626207.0
1/3/21,20829857.0
1/4/21,21011506.0
1/5/21,21242761.0
1/6/21,21499621.0
1/7/21,21788233.0
1/8/21,22091695.0
1/9/21,22351229.0
1/10/21,22564605.0
1/11/21,22775442.0
1/12/21,22994343.0
1/13/21,23224184.0
1/14/21,23462228.0
1/15/21,23709253.0
1/16/21,23917886.0
1/17/21,24094475.0
1/18/21,24235558.0
