date,Brazil
3/17/20,1
3/18/20,3
3/19/20,6
3/20/20,11
3/21/20,15
3/22/20,25
3/23/20,34
3/24/20,46
3/25/20,59
3/26/20,77
3/27/20,92
3/28/20,111
3/29/20,136
3/30/20,159
3/31/20,201
4/1/20,240
4/2/20,324
4/3/20,359
4/4/20,445
4/5/20,486
4/6/20,564
4/7/20,686
4/8/20,819
4/9/20,950
4/10/20,1057
4/11/20,1124
4/12/20,1223
4/13/20,1328
4/14/20,1532
4/15/20,1736
4/16/20,1924
4/17/20,2141
4/18/20,2354
4/19/20,2462
4/20/20,2587
4/21/20,2741
4/22/20,2906
4/23/20,3331
4/24/20,3704
4/25/20,4057
4/26/20,4286
4/27/20,4603
4/28/20,5083
4/29/20,5513
4/30/20,6006
5/1/20,6412
5/2/20,6761
5/3/20,7051
5/4/20,7367
5/5/20,7938
5/6/20,8588
5/7/20,9190
5/8/20,10017
5/9/20,10656
5/10/20,11123
5/11/20,11653
5/12/20,12461
5/13/20,13240
5/14/20,13999
5/15/20,14962
5/16/20,15662
5/17/20,16118
5/18/20,16853
5/19/20,17983
5/20/20,19059
5/21/20,20128
5/22/20,21159
5/23/20,22205
5/24/20,22863
5/25/20,23590
5/26/20,24644
5/27/20,25705
5/28/20,26895
5/29/20,28032
5/30/20,28896
5/31/20,29367
6/1/20,30108
6/2/20,31473
6/3/20,32667
6/4/20,34177
6/5/20,35253
6/6/20,36054
6/7/20,36530
6/8/20,37393
6/9/20,38586
6/10/20,39824
6/11/20,41092
6/12/20,41935
6/13/20,42792
6/14/20,43426
6/15/20,44190
6/16/20,45522
6/17/20,46707
6/18/20,47946
6/19/20,49118
6/20/20,50100
6/21/20,50683
6/22/20,51445
6/23/20,52851
6/24/20,53955
6/25/20,55135
6/26/20,56128
6/27/20,57159
6/28/20,57753
6/29/20,58475
6/30/20,59792
7/1/20,60878
7/2/20,62137
7/3/20,63350
7/4/20,64410
7/5/20,64968
7/6/20,65653
7/7/20,66953
7/8/20,68126
7/9/20,69348
7/10/20,70646
7/11/20,71578
7/12/20,72195
7/13/20,73030
7/14/20,74324
7/15/20,75604
7/16/20,76903
7/17/20,78026
7/18/20,78870
7/19/20,79578
7/20/20,80346
7/21/20,81663
7/22/20,82959
7/23/20,84272
7/24/20,85437
7/25/20,86536
7/26/20,87117
7/27/20,87802
7/28/20,89060
7/29/20,90259
7/30/20,91461
