,Italy
2/21/20,1
2/22/20,2
2/23/20,3
2/24/20,7
2/25/20,10
2/26/20,12
2/27/20,17
2/28/20,21
2/29/20,29
3/1/20,34
3/2/20,52
3/3/20,79
3/4/20,107
3/5/20,148
3/6/20,197
3/7/20,233
3/8/20,366
3/9/20,463
3/10/20,631
3/11/20,827
3/12/20,1016
3/13/20,1266
3/14/20,1441
3/15/20,1809
3/16/20,2158
3/17/20,2503
3/18/20,2978
3/19/20,3405
3/20/20,4032
3/21/20,4825
3/22/20,5476
3/23/20,6077
3/24/20,6820
3/25/20,7503
3/26/20,8215
3/27/20,9134
3/28/20,10023
3/29/20,10779
3/30/20,11591
3/31/20,12428
4/1/20,13155
4/2/20,13915
4/3/20,14681
4/4/20,15362
4/5/20,15887
4/6/20,16523
4/7/20,17127
4/8/20,17669
4/9/20,18279
4/10/20,18849
4/11/20,19468
4/12/20,19899
4/13/20,20465
4/14/20,21067
4/15/20,21645
4/16/20,22170
4/17/20,22745
4/18/20,23227
4/19/20,23660
4/20/20,24114
4/21/20,24648
4/22/20,25085
4/23/20,25549
4/24/20,25969
4/25/20,26384
4/26/20,26644
4/27/20,26977
4/28/20,27359
4/29/20,27682
4/30/20,27967
5/1/20,28236
5/2/20,28710
5/3/20,28884
5/4/20,29079
5/5/20,29315
5/6/20,29684
5/7/20,29958
5/8/20,30201
5/9/20,30395
5/10/20,30560
5/11/20,30739
5/12/20,30911
5/13/20,31106
5/14/20,31368
5/15/20,31610
5/16/20,31763
5/17/20,31908
5/18/20,32007
5/19/20,32169
5/20/20,32330
5/21/20,32486
5/22/20,32616
5/23/20,32735
5/24/20,32785
5/25/20,32877
5/26/20,32955
5/27/20,33072
5/28/20,33142
5/29/20,33229
5/30/20,33340
5/31/20,33415
6/1/20,33475
6/2/20,33530
6/3/20,33601
6/4/20,33689
6/5/20,33774
6/6/20,33846
6/7/20,33899
6/8/20,33964
6/9/20,34043
6/10/20,34114
6/11/20,34167
6/12/20,34223
6/13/20,34301
6/14/20,34345
6/15/20,34371
6/16/20,34405
6/17/20,34448
6/18/20,34514
6/19/20,34561
6/20/20,34610
6/21/20,34634
6/22/20,34657
6/23/20,34675
6/24/20,34644
6/25/20,34678
6/26/20,34708
6/27/20,34716
6/28/20,34738
6/29/20,34744
6/30/20,34767
7/1/20,34788
7/2/20,34818
7/3/20,34833
7/4/20,34854
7/5/20,34861
7/6/20,34869
7/7/20,34899
7/8/20,34914
7/9/20,34926
7/10/20,34938
7/11/20,34945
7/12/20,34954
7/13/20,34967
7/14/20,34984
7/15/20,34997
7/16/20,35017
7/17/20,35028
7/18/20,35042
7/19/20,35045
7/20/20,35058
7/21/20,35073
7/22/20,35082
7/23/20,35092
7/24/20,35097
7/25/20,35102
7/26/20,35107
7/27/20,35112
7/28/20,35123
7/29/20,35129
7/30/20,35132
7/31/20,35141
8/1/20,35146
8/2/20,35154
8/3/20,35166
8/4/20,35171
8/5/20,35181
8/6/20,35187
8/7/20,35190
8/8/20,35203
8/9/20,35205
8/10/20,35209
8/11/20,35215
8/12/20,35225
8/13/20,35231
8/14/20,35234
8/15/20,35392
8/16/20,35396
8/17/20,35400
8/18/20,35405
8/19/20,35412
8/20/20,35418
8/21/20,35427
8/22/20,35430
8/23/20,35437
8/24/20,35441
8/25/20,35445
8/26/20,35458
8/27/20,35463
8/28/20,35472
8/29/20,35473
8/30/20,35477
8/31/20,35483
9/1/20,35491
9/2/20,35497
9/3/20,35507
9/4/20,35518
9/5/20,35534
9/6/20,35541
9/7/20,35553
9/8/20,35563
9/9/20,35577
9/10/20,35587
9/11/20,35597
9/12/20,35603
9/13/20,35610
9/14/20,35624
9/15/20,35633
9/16/20,35645
9/17/20,35658
9/18/20,35668
9/19/20,35692
9/20/20,35707
9/21/20,35724
9/22/20,35738
9/23/20,35758
9/24/20,35781
9/25/20,35801
9/26/20,35818
9/27/20,35835
9/28/20,35851
9/29/20,35875
9/30/20,35894
10/1/20,35918
10/2/20,35941
10/3/20,35968
10/4/20,35986
10/5/20,36002
10/6/20,36030
10/7/20,36061
10/8/20,36083
10/9/20,36111
10/10/20,36140
10/11/20,36166
10/12/20,36205
10/13/20,36246
10/14/20,36289
10/15/20,36372
10/16/20,36427
10/17/20,36474
10/18/20,36543
10/19/20,36616
10/20/20,36705
10/21/20,36832
10/22/20,36968
10/23/20,37059
10/24/20,37210
10/25/20,37338
10/26/20,37479
10/27/20,37700
10/28/20,37905
10/29/20,38122
10/30/20,38321
10/31/20,38618
11/1/20,38826
11/2/20,39059
11/3/20,39412
11/4/20,39764
11/5/20,40192
11/6/20,40638
11/7/20,41063
11/8/20,41394
11/9/20,41750
11/10/20,42330
11/11/20,42953
11/12/20,43589
11/13/20,44139
11/14/20,44683
11/15/20,45229
11/16/20,45733
11/17/20,46464
11/18/20,47217
11/19/20,47870
11/20/20,48569
11/21/20,49261
11/22/20,49823
11/23/20,50453
11/24/20,51306
11/25/20,52028
11/26/20,52850
11/27/20,53677
11/28/20,54363
11/29/20,54904
11/30/20,55576
12/1/20,56361
12/2/20,57045
12/3/20,58038
12/4/20,58852
12/5/20,59514
12/6/20,60078
12/7/20,60606
12/8/20,61240
12/9/20,61739
12/10/20,62626
12/11/20,63387
12/12/20,64036
12/13/20,64520
12/14/20,65011
12/15/20,65857
12/16/20,66537
12/17/20,67220
12/18/20,67894
12/19/20,68447
12/20/20,68799
12/21/20,69214
12/22/20,69842
12/23/20,70395
12/24/20,70900
12/25/20,71359
12/26/20,71620
12/27/20,71925
12/28/20,72370
12/29/20,73029
12/30/20,73604
12/31/20,74159
1/1/21,74621
1/2/21,74985
1/3/21,75332
1/4/21,75680
1/5/21,76329
1/6/21,76877
1/7/21,77291
1/8/21,77911
1/9/21,78394
1/10/21,78755
1/11/21,79203
1/12/21,79819
1/13/21,80326
1/14/21,80848
1/15/21,81325
1/16/21,81800
1/17/21,82177
