,US
2/29/20,1
3/1/20,1
3/2/20,6
3/3/20,7
3/4/20,11
3/5/20,12
3/6/20,14
3/7/20,17
3/8/20,21
3/9/20,22
3/10/20,28
3/11/20,33
3/12/20,43
3/13/20,51
3/14/20,58
3/15/20,70
3/16/20,97
3/17/20,134
3/18/20,194
3/19/20,266
3/20/20,372
3/21/20,475
3/22/20,603
3/23/20,790
3/24/20,1033
3/25/20,1366
3/26/20,1783
3/27/20,2305
3/28/20,3018
3/29/20,3573
3/30/20,4280
3/31/20,5359
4/1/20,6635
4/2/20,8146
4/3/20,9566
4/4/20,11172
4/5/20,12790
4/6/20,14523
4/7/20,17099
4/8/20,19250
4/9/20,21463
4/10/20,23649
4/11/20,25790
4/12/20,27679
4/13/20,29657
4/14/20,32132
4/15/20,34719
4/16/20,36908
4/17/20,39007
4/18/20,40951
4/19/20,42934
4/20/20,45179
4/21/20,47662
4/22/20,50119
4/23/20,52543
4/24/20,54712
4/25/20,56444
4/26/20,57850
4/27/20,59330
4/28/20,61571
4/29/20,63962
4/30/20,66154
5/1/20,68063
5/2/20,69804
5/3/20,71007
5/4/20,72365
5/5/20,74586
5/6/20,76905
5/7/20,78822
5/8/20,80594
5/9/20,82058
5/10/20,83059
5/11/20,84093
5/12/20,85684
5/13/20,87416
5/14/20,89197
5/15/20,90862
5/16/20,92060
5/17/20,92891
5/18/20,94110
5/19/20,95555
5/20/20,97052
5/21/20,98246
5/22/20,99450
5/23/20,100524
5/24/20,101165
5/25/20,101762
5/26/20,102418
5/27/20,103896
5/28/20,104985
5/29/20,106103
5/30/20,107053
5/31/20,107674
6/1/20,108445
6/2/20,109428
6/3/20,110437
6/4/20,111443
6/5/20,112321
6/6/20,112958
6/7/20,113415
6/8/20,113926
6/9/20,114840
6/10/20,115716
6/11/20,116532
6/12/20,117355
6/13/20,118077
6/14/20,118424
6/15/20,118825
6/16/20,119612
6/17/20,120360
6/18/20,121058
6/19/20,121684
6/20/20,122257
6/21/20,122574
6/22/20,122952
6/23/20,123691
6/24/20,124446
6/25/20,124994
6/26/20,125620
6/27/20,126116
6/28/20,126437
6/29/20,126806
6/30/20,127365
7/1/20,128063
7/2/20,128802
7/3/20,129479
7/4/20,129781
7/5/20,130103
7/6/20,130474
7/7/20,131616
7/8/20,132457
7/9/20,133488
7/10/20,134304
7/11/20,135058
7/12/20,135531
7/13/20,135966
7/14/20,136862
7/15/20,137827
7/16/20,138788
7/17/20,139703
